anio,pais,importacion
2014,Francia,1768191.11
2014,Hungría,31423.13
2014,Indonesia,108252.65
2014,Italia,8625210.3
2014,Malasia,45216.03
2014,México,8280806.54
2014,Países Bajos,498387.39
2014,Pakistán,95139.47
2014,Perú,6934339.93
2014,Polonia,229496.12
2014,Portugal,181263.63
2014,Reino Unido,138378.98
2014,República Checa,37198.03
2014,República Dominicana ,1382991.72
2014,Suiza,3171217.43
2014,Taiwán,5122.28
2014,Trinidad y Tobago,1162352.2
2014,Turquía,2518243.33
2014,Venezuela,3767223.11
2015,Alemania,4338580.54
2015,Argentina,8426733.66
2015,Austria,40011.69
2015,Bélgica,2255375.42
2015,Brasil,15379581.53
2015,Canadá,6039385.33
2015,Chile,1306197.59
2015,China,6521884.04
2015,Colombia,5285.81
2015,Costa Rica,871684.57
2015,Dinamarca,107362.12
2015,Ecuador,55248704.51
2015,España,4574558.28
2015,Estados Unidos,49901804.12
2015,Filipinas,1440.62
2015,Francia,2125376.26
2015,Hungría,2463.57
2015,Indonesia,413001.86
2015,Israel,659.91
2015,Italia,10490535.63
2015,Malasia,1495522.32
2015,México,10794823.8
2015,Países Bajos,682176.13
2015,Panamá,48692.07
2015,Perú,5422907.69
2015,Polonia,313199.38
2015,Reino Unido,701676.83
2015,República Checa,8134.26
2015,República Dominicana ,59954.56
2015,Serbia,106283.51
2015,Suiza,4836822.14
2015,Turquía,2848748.12
2015,Uruguay,35280.78
2015,Venezuela,4783294.41
2015,Vietnam,84813.4
2016,Alemania,3373311.66
2016,Argentina,13115073.97
2016,Australia,3860.57
2016,Austria,60838.37
2016,Bélgica,2036116.43
2016,Brasil,17125228.07
2016,Canadá,1885766.43
2016,Chile,1110338.98
2016,China,5099900.35
2016,Colombia,171070.17
2016,Costa de Marfil,262858.72
2016,Costa Rica,1351233.8
2016,Ecuador,53130734.89
2016,España,4885773.27
2016,Estados Unidos,62836852.91
2016,Filipinas,100.44
2016,Francia,1955866.4
2016,Ghana,248008.93
2016,Guatemala,39175.02
2016,Indonesia,58721.64
2016,Irlanda,68602.05
2016,Italia,6901890.37
2016,Líbano,84.11
2016,Malasia,4196079.21
2016,México,10454358.96
2016,Países Bajos,505866.73
2016,Pakistán,68090.42
2016,Perú,20927633.58
2016,Polonia,514267.4
2016,Portugal,84608.25
2016,Reino Unido,859283.2
2016,República Dominicana ,99239.78
2016,Suecia,1282.53
2016,Suiza,3388210.7
2016,Taiwán,646.66
2016,Turquía,3534330.6
2016,Venezuela,1082757.08
2016,Vietnam,14763.17
2017,Alemania,2232189.42
2017,Argentina,4989578.64
2017,Austria,12873.79
2017,Bélgica,892951.17
2017,Brasil,4577579.09
2017,Canadá,688102.59
2017,Chile,540033.57
2017,China,2280163
2017,Costa de Marfil,60.53
2017,Costa Rica,820427.41
2017,Ecuador,12078596.93
2017,España,2598969.27
2017,Estados Unidos,22507988
2017,Finlandia,80.36
2017,Francia,861361.7
2017,Indonesia,19656.86
2017,Italia,3732321.35
2017,Malasia,244725.16
2017,México,4406215.98
2017,Países Bajos,287661.39
2017,Pakistán,62784.63
2017,Perú,3651479.33
2017,Polonia,319744.86
2017,Portugal,96496.43
2017,Reino Unido,1085617.47
2017,Serbia,32478.6
2017,Suiza,1665956.95
2017,Taiwán,3229.45
2017,Turquía,1939488.87
2017,Venezuela,490410.46
